icao,airline,callsign
BOI,"2GO","ABAIR"
EVY,"34 Squadron, Royal Australian Air Force","Multiple"
GNL,"135 Airways","GENERAL"
WYT,"2 Sqn No 1 Elementary Flying Training School","WYTON"
TFU,"213th Flight Unit","THJY"
CHD,"223rd Flight Unit","CHKALOVSK-AVIA"
TTF,"224th Flight Unit","CARGO UNIT"
TWF,"247 Jet Ltd","CLOUD RUNNER"
SEC,"3D Aviation","SECUREX"
MLA,"40-Mile Air","MILE-AIR"
QRT,"4D Air","QUARTET"
PIU,"43 Air School","PRIMA"
WAZ,"Wizz Air Abu Dhabi","WIZZ SKY"
UBE,"Bees Airline","FLOWER BEE"
JYH,"9 Air","TRANS JADE"
BRO,"2Excel Aviation","BROADSWORD"
DWI,"Arajet","Arajet"
GBT,"A-Jet Aviation Aircraft Management","GLOBETROTTER"
AJR,"A-Jet Aviation Company","JET MONGOLIA"
SFM,"A-Safar Air Services","AIR SAFAR"
AJJ,"A2 Jet Leasing","ATLANTIC JET"
XXV,"AASANA",""
BBE,"Ababeel Aviation","BABEL AIR"
ABJ,"Abaeté Linhas Aéreas","ABAETE"
NKP,"Abakan Air","ABAKAN AIR"
ABG,"Abakan-Avia","ROYAL FLIGHT"
ABE,"Aban Air","ABAN"
MRP,"Abas","ABAS"
AHU,"ABC Air Hungary","ABC HUNGARY"
FTY,"ABC Bedarfsflug","FLY TYROL"
AAB,"Abelag Aviation","ABG"
BDV,"Aberdair Aviation","ABERDAV"
ROH,"Aberdair Aviation Ghana",""
ADJ,"Abidjan Air Cargo","ABICAR"
ABP,"ABS Jets","BAIR"
LTG,"ABSA Cargo","Tam Cargo"
TTN,"Absolute Flight Services","TITANIUM"
ABX,"ABX Air","ABEX"
IAE,"AC Insat-Aero",""
NCL,"ACA (Ancargo Air)","ANCARGO AIR"
ACD,"Academy Airlines","ACADEMY"
CYD,"AccessAir","CYCLONE"
CFM,"ACEF","ACEF"
ARO,"Acero Taxi","ACERO"
AES,"ACES Colombia","ACES"
BVR,"ACM Air Charter","BAVARIAN"
BJT,"ACM Aviation","BAY JET"
CRV,"Acropolis Aviation","ACROPOLIS"
ORS,"Action Air","AVIATION SERVICE"
AXQ,"Action Airlines (Action Air Charter)","ACTION AIR"
AVR,"Active Aero Charter, Inc.","ACTIVE AERO"
RRM,"Acvila Air-Romanian Carrier","AIR ROMANIA"
ADC,"AD Astra Executive Charter","AD ASTRA"
VUE,"AD Aviation","FLIGHTVUE"
ADE,"Ada Air","ADA AIR"
DHI,"Adam Air","ADAM SKY"
ADK,"ADC Airlines","ADCO"
ADW,"ADC Airways",""
DSC,"Addis Air Cargo Services","ADDIS CARGO"
DDS,"Addis Airlines","ADDIS LINE"
ADF,"Ade, Aviación Deportiva","ADE AVIACION"
TEC,"ADI Shuttle Group","TECHJET"
SWH,"Adler Aviation","SHOCKWAVE"
ADR,"Adria Airways","ADRIA"
DRO,"Adro Servicios Aereos","ADRO SERVICIOS"
ADV,"Advance Air Charters","ADVANCE"
AXX,"Advance Air Luftfahrtgesellschaft","SKY SHUTTLE"
AAX,"Advance Aviation","ADVANCE AVIATION"
XTJ,"Advance Aviation Services",""
WSN,"Advanced Air","WINGSPAN"
ADD,"Advanced Air Co.",""
ADV,"Advanced Flight Training","ADVANCED"
RDD,"Adygea Airlines","ADLINES"
DVN,"Adventia",""
EBS,"AEG Aviation Services",""
AEE,"Aegean Airlines","AEGEAN"
ALS,"Aeralp","AERALP"
AEF,"Aerea",""
DRD,"Aereo Dorado","AEREO DORADO"
FUT,"Aereo Futuro","AEREO FUTURO"
MMG,"Aereo Ruta Maya","RUTA MAYA"
AGI,"Aereo Transportes Los Angeles de America","ANGELES AMERICA"
WWG,"Aereo WWG","AERO-W"
AED,"Aernord","Aernspa"
AKR,"Aero Clinker","AERO CLINKER"
RRB,"Aero Club de Castellon",""
CND,"Aero Continente Dominicana","CONDOMINICANA"
ARP,"Aero Corporate","IVORYCORP"
AEK,"Aero Costa Rica","ACORISA"
EPU,"Aero Elite Acapulco","ELITACAPULCO"
XPN,"Aero Express",""
AJP,"Aero Jets Corporativos","AEROJETS"
TKJ,"AJet","ANATOLIAN"
OWN,"Aero Owen","AERO OWEN"
GHM,"Aero Service Bolivia",""
GLM,"Aero Services Mali","GLOBAL MALI"
GUE,"Aero Servicio Guerrero","AERO GUERRERO"
ASR,"Aero Sotravia","SOTRAVIA"
ABA,"Aero-Beta","AEROBETA"
UCR,"Aero-Charter Ukraine","CHARTER UKRAINE"
EAP,"Aero-Pyrenees","AERO-PYRENEES"
AJH,"Aeroaljarafe","ALJARAFE"
